Country,Population,Area,GDP,Birthrate,Deathrate
Swaziland,1136334,17363,5000,27.41,29.74
Sweden,9016596,449964,29800,10.27,10.31
Switzerland,7523934,41290,32200,9.71,8.49
Syria,18881361,185180,3900,27.76,4.81
Taiwan,23036087,35980,27500,12.56,6.48
Tajikistan,7320815,143100,1200,32.65,8.25
Tanzania,37445392,945087,700,37.71,16.39
Thailand,64631595,514000,8600,13.87,7.04
Togo,5548702,56785,1600,37.01,9.83
Tokelau,1392,10,1000,,
Tonga,114689,748,2200,25.37,5.28
Trinidad and Tobago,1065842,5128,16800,12.9,10.57
Tunisia,10175014,163610,8200,15.52,5.13
Turkey,70413958,780580,8400,16.62,5.97
Turkmenistan,5042920,488100,7900,27.61,8.6
Turks and Caicos Islands,21152,430,11500,21.84,4.21
Tuvalu,11810,26,1600,22.18,7.11
Uganda,28195754,236040,1800,47.35,12.24
Ukraine,46710816,603700,7000,8.82,14.39
United Arab Emirates,2602713,82880,45200,18.96,4.4
United Kingdom,60609153,244820,30100,10.71,10.13
United States,298444215,9631420,41600,14.14,8.26
Uruguay,3431932,176220,9900,13.91,9.05
Uzbekistan,27307134,447400,1900,26.36,7.84
Vanuatu,208869,12200,2900,22.72,7.82
Venezuela,25730435,912050,6400,18.71,4.92
Vietnam,84402966,329560,2800,16.86,6.22
Virgin Islands,108605,1910,14500,13.96,6.43
Wallis and Futuna,16025,274,3800,,
West Bank,2460492,5860,1100,31.67,3.92
Western Sahara,273008,266000,,,
Yemen,21456188,527970,900,42.89,8.3
Zambia,11502010,752614,900,41,19.93
Zimbabwe,12236805,390580,2100,28.01,21.84
